name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Bogdan Guskov,"6' 3""","76""",Orthodox,12-Sep-92,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,3.13,48,3.7,47,0,0,66,0,0
Ryan Spann,"6' 5""","79""",Orthodox,24-Aug-91,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,3.25,40,3.89,44,1.34,35,47,1.5,0
Karine Silva,"5' 5""","67""",Orthodox,02-Dec-93,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,2.67,35,3.12,49,3.59,72,0,2.2,0
Ariane da Silva,"5' 6""","67""",Orthodox,26-Jan-94,http://ufcstats.com/fighter-details/6551c64fbcd1a467,4.1,41,3.96,53,0.56,55,71,0.3,0
Jhonata Diniz,"6' 4""","79""",Orthodox,23-Jun-91,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,4.31,48,3.92,45,0,0,80,0,0
Austen Lane,"6' 6""","80""",Orthodox,09-Nov-87,http://ufcstats.com/fighter-details/be9bdec19b7e9ffe,3.43,46,2.81,44,1.03,20,0,0,0
David Onama,"5' 11""","74""",Orthodox,07-Jun-94,http://ufcstats.com/fighter-details/ffe9703408fb5964,5.04,48,5.1,52,0.67,17,52,0.5,0
Jonathan Pearce,"6' 0""","71""",Switch,01-May-92,http://ufcstats.com/fighter-details/87c0b1c696ddfb43,5.32,54,3.43,54,5.24,50,58,0.8,0
Uros Medic,"6' 1""","71""",Southpaw,25-Apr-93,http://ufcstats.com/fighter-details/681399317dbf4701,5.51,60,3.18,58,0.38,50,55,0,0
Tim Means,"6' 2""","75""",Orthodox,20-Feb-84,http://ufcstats.com/fighter-details/4b47e71384a9522f,5.08,49,3.64,60,1.16,40,65,0.2,0
Victor Henry,"5' 7""","68""",Switch,04-May-87,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8,8.34,54,5.62,47,0,0,83,0.5,0
Rani Yahya,"5' 6""","67""",Orthodox,12-Sep-84,http://ufcstats.com/fighter-details/94527830000ab715,1.71,38,2.08,50,2.73,30,29,1.8,0
Austin Hubbard,"5' 10""","71""",Orthodox,22-Dec-91,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed,4.11,45,3.74,56,1.75,50,65,0,0
Michal Figlak,"5' 10""","70""",Orthodox,15-Aug-96,http://ufcstats.com/fighter-details/b4c57a8c2b773e82,4,39,4.93,52,0.5,12,57,0,0
Don'Tale Mayes,"6' 6""","81""",Orthodox,16-Jan-92,http://ufcstats.com/fighter-details/1a9480fc288e55d7,3.69,43,3.96,47,0.71,43,60,0,0
Caio Machado,"6' 4""","78""",Southpaw,20-Jul-94,http://ufcstats.com/fighter-details/89839250eb25c9c1,6.07,58,2.73,63,0,0,82,0,0
Ketlen Souza,"5' 3""","63""",Orthodox,18-Aug-94,http://ufcstats.com/fighter-details/8bd4200561c77a62,4.78,68,2.03,60,0.9,50,50,0,0
Marnic Mann,"5' 0""","64""",Southpaw,05-Mar-93,http://ufcstats.com/fighter-details/b6203e0492a9336c,1.47,41,5.08,31,1.9,33,25,0.4,0
Chris Padilla,"5' 9""","74""",Orthodox,14-Sep-95,http://ufcstats.com/fighter-details/06626b6287e1ae1e,2.64,46,4.18,52,9.89,100,0,3.3,0
James Llontop,"6' 0""","73""",Orthodox,02-Aug-99,http://ufcstats.com/fighter-details/93b2b7caa457cbea,4.76,52,2.1,70,0,0,50,0,0
Ivana Petrovic,"5' 8""","70""",Southpaw,11-Jun-94,http://ufcstats.com/fighter-details/38c5817ade8a8014,2.19,42,2.45,53,2.83,50,60,1.7,0
Liang Na,"5' 5""","67""",Orthodox,27-Jul-96,http://ufcstats.com/fighter-details/ec0dcceace7d25a3,1.99,42,3.95,36,3.6,58,25,0.5,0
Maheshate,"6' 0""","71""",Orthodox,01-Dec-99,http://ufcstats.com/fighter-details/8c1ca54b5089d199,3.9,28,5.76,53,0,0,45,0,0
Gabriel Benitez,"5' 8""","71""",Southpaw,15-Jun-88,http://ufcstats.com/fighter-details/436f970c9ea9169c,5.26,41,4.49,63,0.22,50,55,0.9,0
Alex Pereira,"6' 4""","79""",Orthodox,07-Jul-87,http://ufcstats.com/fighter-details/e5549c82bfb5582d,5.1,62,3.65,50,0.18,100,70,0.4,0
Jamahal Hill,"6' 4""","79""",Southpaw,19-May-91,http://ufcstats.com/fighter-details/5444c5a201d3ee5a,7.18,54,3.51,46,0,0,73,0,0
Zhang Weili,"5' 4""","63""",Switch,13-Aug-89,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,5.66,53,3.15,53,2.51,46,50,0.5,0
Yan Xiaonan,"5' 5""","63""",Orthodox,16-Jun-89,http://ufcstats.com/fighter-details/c41d426cc7326d1b,4.97,44,3.66,58,1,73,62,0,0
Max Holloway,"5' 11""","69""",Orthodox,04-Dec-91,http://ufcstats.com/fighter-details/150ff4cc642270b9,7.17,48,4.72,59,0.25,53,84,0.3,0
Justin Gaethje,"5' 11""","70""",Orthodox,14-Nov-88,http://ufcstats.com/fighter-details/9e8f6c728eb01124,6.78,59,7.46,52,0.11,25,75,0,0
Arman Tsarukyan,"5' 7""","72""",Orthodox,11-Oct-96,http://ufcstats.com/fighter-details/eae48ff31db420c2,3.79,48,1.84,53,3.25,37,75,0,0
Charles Oliveira,"5' 10""","74""",Orthodox,17-Oct-89,http://ufcstats.com/fighter-details/07225ba28ae309b6,3.39,53,3.2,51,2.17,40,55,2.8,0
